DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1987,1,Southeastern Region,138949,450,"salmon, chum",C
1987,1,Southeastern Region,690984,450,"salmon, chum",D
1987,2,Central Region,42045,410,"salmon, chinook",E
1987,2,Central Region,40619,410,"salmon, chinook",H
1987,2,Central Region,75399,410,"salmon, chinook",T
1987,2,Central Region,1741868,420,"salmon, sockeye",E
1987,2,Central Region,9718105,420,"salmon, sockeye",H
1987,2,Central Region,16068775,420,"salmon, sockeye",T
1987,2,Central Region,168637,430,"salmon, coho",E
1987,2,Central Region,464104,430,"salmon, coho",H
1987,2,Central Region,65403,430,"salmon, coho",T
1987,2,Central Region,26372674,440,"salmon, pink",E
1987,2,Central Region,310820,440,"salmon, pink",H
1987,2,Central Region,57,440,"salmon, pink",T
1987,2,Central Region,1951110,450,"salmon, chum",E
1987,2,Central Region,508321,450,"salmon, chum",H
1987,2,Central Region,1529142,450,"salmon, chum",T
1987,3,A-Y-K Region,64702,410,"salmon, chinook",W
1987,3,A-Y-K Region,44,410,"salmon, chinook",X
1987,3,A-Y-K Region,129313,410,"salmon, chinook",Y
1987,3,A-Y-K Region,7080,410,"salmon, chinook",Z
1987,3,A-Y-K Region,170391,420,"salmon, sockeye",W
1987,3,A-Y-K Region,207,420,"salmon, sockeye",Z
1987,3,A-Y-K Region,478434,430,"salmon, coho",W
1987,3,A-Y-K Region,24311,430,"salmon, coho",Z
1987,3,A-Y-K Region,163,440,"salmon, pink",W
1987,3,A-Y-K Region,2260,440,"salmon, pink",Z
1987,3,A-Y-K Region,599639,450,"salmon, chum",W
1987,3,A-Y-K Region,109467,450,"salmon, chum",X
1987,3,A-Y-K Region,405268,450,"salmon, chum",Y
1987,3,A-Y-K Region,102501,450,"salmon, chum",Z
1987,4,Westward Region,4612,410,"salmon, chinook",K
1987,4,Westward Region,2651,410,"salmon, chinook",L
1987,4,Westward Region,23360,410,"salmon, chinook",M
1987,4,Westward Region,1793271,420,"salmon, sockeye",K
1987,4,Westward Region,1898159,420,"salmon, sockeye",L
1987,4,Westward Region,2659263,420,"salmon, sockeye",M
1987,4,Westward Region,192695,430,"salmon, coho",K
1987,4,Westward Region,150414,430,"salmon, coho",L
1987,4,Westward Region,396904,430,"salmon, coho",M
1987,4,Westward Region,4920772,440,"salmon, pink",K
