year,code,value,system,description
1980,AKCLIM_EBS_ebs.spr.sst,-0.076876263,EBS,Eastern Bering spring SST
1981,AKCLIM_EBS_ebs.spr.sst,1.613349186,EBS,Eastern Bering spring SST
1982,AKCLIM_EBS_ebs.spr.sst,-0.411883616,EBS,Eastern Bering spring SST
1983,AKCLIM_EBS_ebs.spr.sst,1.083201619,EBS,Eastern Bering spring SST
1984,AKCLIM_EBS_ebs.spr.sst,0.153295955,EBS,Eastern Bering spring SST
1985,AKCLIM_EBS_ebs.spr.sst,-0.816008931,EBS,Eastern Bering spring SST
1986,AKCLIM_EBS_ebs.spr.sst,-0.32478801,EBS,Eastern Bering spring SST
1987,AKCLIM_EBS_ebs.spr.sst,0.6636949,EBS,Eastern Bering spring SST
1988,AKCLIM_EBS_ebs.spr.sst,-0.10001992,EBS,Eastern Bering spring SST
1989,AKCLIM_EBS_ebs.spr.sst,0.25514767,EBS,Eastern Bering spring SST
1990,AKCLIM_EBS_ebs.spr.sst,0.263450592,EBS,Eastern Bering spring SST
1991,AKCLIM_EBS_ebs.spr.sst,-0.550545351,EBS,Eastern Bering spring SST
1992,AKCLIM_EBS_ebs.spr.sst,0.12885296,EBS,Eastern Bering spring SST
1993,AKCLIM_EBS_ebs.spr.sst,0.936682979,EBS,Eastern Bering spring SST
1994,AKCLIM_EBS_ebs.spr.sst,0.229055064,EBS,Eastern Bering spring SST
1995,AKCLIM_EBS_ebs.spr.sst,-0.481456605,EBS,Eastern Bering spring SST
1996,AKCLIM_EBS_ebs.spr.sst,0.838561359,EBS,Eastern Bering spring SST
1997,AKCLIM_EBS_ebs.spr.sst,0.56073225,EBS,Eastern Bering spring SST
1998,AKCLIM_EBS_ebs.spr.sst,0.254500191,EBS,Eastern Bering spring SST
1999,AKCLIM_EBS_ebs.spr.sst,-0.85821084,EBS,Eastern Bering spring SST
2000,AKCLIM_EBS_ebs.spr.sst,0.320145474,EBS,Eastern Bering spring SST
2001,AKCLIM_EBS_ebs.spr.sst,0.959132853,EBS,Eastern Bering spring SST
2002,AKCLIM_EBS_ebs.spr.sst,0.925953758,EBS,Eastern Bering spring SST
2003,AKCLIM_EBS_ebs.spr.sst,1.971622232,EBS,Eastern Bering spring SST
2004,AKCLIM_EBS_ebs.spr.sst,0.787005522,EBS,Eastern Bering spring SST
2005,AKCLIM_EBS_ebs.spr.sst,0.678660421,EBS,Eastern Bering spring SST
2006,AKCLIM_EBS_ebs.spr.sst,-0.272223613,EBS,Eastern Bering spring SST
2007,AKCLIM_EBS_ebs.spr.sst,-0.958689395,EBS,Eastern Bering spring SST
2008,AKCLIM_EBS_ebs.spr.sst,-0.931024954,EBS,Eastern Bering spring SST
2009,AKCLIM_EBS_ebs.spr.sst,-0.778761232,EBS,Eastern Bering spring SST
2010,AKCLIM_EBS_ebs.spr.sst,-0.971777502,EBS,Eastern Bering spring SST
2011,AKCLIM_EBS_ebs.spr.sst,0.211946866,EBS,Eastern Bering spring SST
2012,AKCLIM_EBS_ebs.spr.sst,-0.942910513,EBS,Eastern Bering spring SST
2013,AKCLIM_EBS_ebs.spr.sst,-0.160837131,EBS,Eastern Bering spring SST
2014,AKCLIM_EBS_ebs.spr.sst,0.772827036,EBS,Eastern Bering spring SST
2015,AKCLIM_EBS_ebs.spr.sst,1.698755717,EBS,Eastern Bering spring SST
2016,AKCLIM_EBS_ebs.spr.sst,2.355593582,EBS,Eastern Bering spring SST
1950,AKCLIM_EBS_EBSwinSE,0.140860215,EBS,EBS winter SE winds
1951,AKCLIM_EBS_EBSwinSE,0.159326311,EBS,EBS winter SE winds
1952,AKCLIM_EBS_EBSwinSE,0.193315324,EBS,EBS winter SE winds
1953,AKCLIM_EBS_EBSwinSE,0.188457318,EBS,EBS winter SE winds
1954,AKCLIM_EBS_EBSwinSE,0.188983981,EBS,EBS winter SE winds
1955,AKCLIM_EBS_EBSwinSE,0.195918367,EBS,EBS winter SE winds
1956,AKCLIM_EBS_EBSwinSE,0.243535145,EBS,EBS winter SE winds
1957,AKCLIM_EBS_EBSwinSE,0.130107527,EBS,EBS winter SE winds
1958,AKCLIM_EBS_EBSwinSE,0.122865921,EBS,EBS winter SE winds
1959,AKCLIM_EBS_EBSwinSE,0.16374808,EBS,EBS winter SE winds
1960,AKCLIM_EBS_EBSwinSE,0.122766036,EBS,EBS winter SE winds
1961,AKCLIM_EBS_EBSwinSE,0.18418916,EBS,EBS winter SE winds
1962,AKCLIM_EBS_EBSwinSE,0.150109721,EBS,EBS winter SE winds
1963,AKCLIM_EBS_EBSwinSE,0.173985078,EBS,EBS winter SE winds
1964,AKCLIM_EBS_EBSwinSE,0.226834048,EBS,EBS winter SE winds
1965,AKCLIM_EBS_EBSwinSE,0.184529296,EBS,EBS winter SE winds
1966,AKCLIM_EBS_EBSwinSE,0.140004389,EBS,EBS winter SE winds
1967,AKCLIM_EBS_EBSwinSE,0.159359228,EBS,EBS winter SE winds
1968,AKCLIM_EBS_EBSwinSE,0.178844218,EBS,EBS winter SE winds
1969,AKCLIM_EBS_EBSwinSE,0.127781435,EBS,EBS winter SE winds
1970,AKCLIM_EBS_EBSwinSE,0.117390827,EBS,EBS winter SE winds
1971,AKCLIM_EBS_EBSwinSE,0.17512618,EBS,EBS winter SE winds
1972,AKCLIM_EBS_EBSwinSE,0.173139467,EBS,EBS winter SE winds
1973,AKCLIM_EBS_EBSwinSE,0.227079219,EBS,EBS winter SE winds
1974,AKCLIM_EBS_EBSwinSE,0.214461268,EBS,EBS winter SE winds
1975,AKCLIM_EBS_EBSwinSE,0.199001536,EBS,EBS winter SE winds
1976,AKCLIM_EBS_EBSwinSE,0.243995974,EBS,EBS winter SE winds
1977,AKCLIM_EBS_EBSwinSE,0.155244679,EBS,EBS winter SE winds
1978,AKCLIM_EBS_EBSwinSE,0.097695853,EBS,EBS winter SE winds
1979,AKCLIM_EBS_EBSwinSE,0.088479263,EBS,EBS winter SE winds
1980,AKCLIM_EBS_EBSwinSE,0.165490757,EBS,EBS winter SE winds
1981,AKCLIM_EBS_EBSwinSE,0.142593812,EBS,EBS winter SE winds
1982,AKCLIM_EBS_EBSwinSE,0.207164801,EBS,EBS winter SE winds
1983,AKCLIM_EBS_EBSwinSE,0.101996928,EBS,EBS winter SE winds
1984,AKCLIM_EBS_EBSwinSE,0.147068171,EBS,EBS winter SE winds
1985,AKCLIM_EBS_EBSwinSE,0.17852754,EBS,EBS winter SE winds
1986,AKCLIM_EBS_EBSwinSE,0.192604784,EBS,EBS winter SE winds
1987,AKCLIM_EBS_EBSwinSE,0.084825543,EBS,EBS winter SE winds
1988,AKCLIM_EBS_EBSwinSE,0.192822713,EBS,EBS winter SE winds
1989,AKCLIM_EBS_EBSwinSE,0.149001536,EBS,EBS winter SE winds
1990,AKCLIM_EBS_EBSwinSE,0.150296248,EBS,EBS winter SE winds
1991,AKCLIM_EBS_EBSwinSE,0.189137591,EBS,EBS winter SE winds
1992,AKCLIM_EBS_EBSwinSE,0.155055882,EBS,EBS winter SE winds
